album_id,album_popularity,release_date
75kQjmcR1YnIrBwVW1s4G1,44,2014-11-17
2kGUeTGnkLOYlinKRJe47G,57,2017-03-23
4QianJs5Ls4mxwcT7gDBww,57,2016-11-04
5oKWoolIuoWMG6AORvA9hL,38,2014-02-03
7pZ8G0wWw7PLiECRnoaUbi,30,2016-10-19
3NF642glRZZKf3Ng96eMfX,31,2017-05-05
0vBFa64sBqdd26KKIj4SKZ,34,2017-03-10
2kPUTzKRpqY9mSPlHjL1OR,37,2015-09-18
23aWOneOrCl1KBfDCo2pFy,30,2012-10-30
6z1qeT7vI9YUsCHqufGWJy,40,2016-11-25
4Z9obWy8iCAkKg6BRDWobY,31,2014-05-30
3HZ0JZp7CyL6iRDcizTNYN,31,2017-04-07
6DfpAPQnvYJlkbzf1b2g8I,31,2013-12-19
0EI8YjnyrsrQPNKIDfCY2n,46,2015-06-29
5afHhk03AfHR76hfjRNobE,47,2016-08-26
5DBkVYMm2pO2JBmbadxp2E,30,2012-09-18
5iK842b9xnZblgZkRxWCFe,45,2010-01-01
6InzdcelNU3urf6CgnXCph,32,2016-11-10
3BKFrChX5Exd28VX3Yq4Kb,50,2016-04-08
3oJKuFPVZTSeNc8G4UYV4L,45,2012-06-19
0k5SdnRApLIsknnO0M0rwH,30,2014-07-17
3MksslTJffj1jqxGkQt8Tm,34,2015-09-27
1fbioXhoT5kdGQ3qjTki8J,30,2010-01-01
1JsfL0KkGgJYWFUaL7zrES,36,2015-06-09
2pPGfPv8AKkeFyTtgHTOUr,47,2010-01-01
1dvidQe99PmEDSW91azSTw,34,2011-05-03
0wxVA1pnbkGHqkWjh4DLFx,38,2015-10-09
0cHT4ll3sEPyFFWoFuibMl,36,2016-06-26
508PwdK7nipXn6CL20PWkb,42,2017-07-21
32t5s4ID49x47XgNOHvYqX,45,2012-12-11
2x4uV7cAjgVzCeGaAh9HLB,30,2015-11-20
452XImtJriuoKzyophR0yv,38,2017-03-16
1z50aUk8ypdjqTzqxuQ0ig,37,2017-04-23
317PLw31Js7O9lndUXuMFC,32,2015-04-21
4mWCzSBfHnpKRU3vsqhEJc,31,2016-05-27
6L06e2Inbj1eG9gj4ZH9Xz,35,2014-06-23
24GcpkD2HA5328PXxFP5w9,40,2013-10-13
4xRPxUWQPF9BbwlodMnhh6,31,2015-09-18
1MSxQKpaZ2nPubMVQi9V3N,46,2011-08-02
1OXyss0RptjKiapSKNewku,33,2015-12-10
5mgVRRHjtl9fSY3rUHysJx,34,2017-03-10
6nE1C92IIZQBnlYLxObRHW,54,2013-11-25
2GIrLP0PWskhZAJaHQtDux,49,2016-06-10
4yVaTn71IU28NA0Et4bRED,46,2016-07-01
5KjCwts0bB77KWXXdbeWDH,40,2016-03-21
7FbbHGEqovOBqxZBsbxFqX,47,2015-01-15
4GBIKJqX9pDtBh4CJ5PMyD,32,2013-04-16
4WlD2i4Eb75fNj9VukkEB8,39,2015-06-01
2Y81I8p6wKD13rSgp9aujA,57,2015-11-20
7ofIuqyYYYTu1MbgDJgef4,42,2010-05-23
4EK8gtQfdVsmDTji7gBFlz,55,2013-10-08
6ahNh15MTKTZb2IQJMnqBy,36,2015-10-30
2xQu1nr9mQ8vkHNpC1sx6J,31,2014-11-11
630KUw0TTGpapAuDFBF30z,33,2015-10-23
5Bf2kyJHabjNchfF73IGiH,40,2014-01-01
2fVLDKLQMLzqKKjlzVkAuf,30,2012-03-17
1x69uilYROlB9Swzq6KpmB,38,2015-10-02
0djZBLLoZgWveXvSGQ6AHI,33,2016-01-16
2WxtrbQxuEQkUVkcezBzdl,31,2017-07-06
5jSA9rGAa107RdAWPzM3jM,46,2015-11-13
3PjbRRS8U0Y6FYHCFyOHWQ,32,2017-01-01
6pZj4nvx6lV3ulIK3BSjvs,39,2016-11-18
12dPqNFIdjiVFSHvtsDmzJ,46,2013-11-05
6FPsDyF7sUzTJMBelezZIp,31,2016-08-05
3ffZoNdCyrZWY9jlpCS7wz,34,2013
6zxguuGxV6KZLKPTNYyEfR,34,2016-01-22
4ziM2uBQerVHZYnvVFFnoS,32,2015-01-20
2FFMtf8Log72Ow5A3ExNv5,43,2017-01-23
31dBitfDGugqFHLKrUT3rt,41,2010-01-01
6WlzaRoDShdgVgaqJRjyNH,37,2012-08-28
7a0OYjzocK1VwE8Mj5QKoG,33,2015-05-26
4yYep1aU3lXRaONTWu2X23,37,2011-07-11
5SuiUBJmzzlOZqj3rogcja,30,2016-10-14
0OK4Ou6xS2mMJvrnWgbCEJ,45,2014-02-20
2oUWSHubOyXXSFN7gzLlkq,57,2016-07-01
3Agn1GrWYPQMVqiES3P9JU,40,2011-12-27
4XHIjbhjRmqWlosjj5rqSI,61,2012-06-20
7E56IANYZex5WABvAeYRIB,41,2017-09-29
7EAVX7J3DRvhbMiKjgtgvB,33,2017-07-14
03DdDRx3oSubYvIO1xjwcX,34,2016-05-06
5Fei3OXDpZtPrsjwt6CDYx,47,2017-08-18
238NQAxbtkQF1QaiMfcRSE,34,2015-01-01
2tzeqjhFeng6SK5PTBupAp,30,2016-10-24
4rG0MhkU6UojACJxkMHIXB,37,2011-06-17
5VHide40URoPoaMJ5Ou0vK,49,2012-10-01
1kzbFZiILCf520UCCPOhvz,47,2013-05-13
6GkdhbqD0GxO1YMan6eK2b,49,2016-09-30
42xeQBQTfAau2KaHa8lZIb,37,2013-07-01
0DZPvNS2UafM6bBPMm3QEX,53,2014-01-01
0rtUOSV8E9HYz3ra24h0Cs,37,2015-02-17
2R2Cwe4kI8b2WObXZ90wOC,38,2014-02-18
2H4MixFpi9BQdQqtozfovm,36,2012-06-19
4OoNqHBpbgDoqtN3u1IdiC,30,2015-12-18
7IACcKsPaMrCJjwsZLjoJ3,42,2015-02-10
0EdEKtBeCcks1flcXuPxIZ,30,2014-06-27
2U8jmta2FRGB1bUMQ7u9jj,32,2016-09-21
4k1dyTXNzSE7nBGftoMH4b,45,2015-02-10
7z9ssIzOlJAos2yUnTh899,35,2015-09-04
5D4btFygTiN8Ya0foisiIM,44,2017-06-02
3MGWUbdvqgbu10ShuQuHzd,31,2015-09-11
0AR9k9xuONdHSUjKaxGct5,36,2017-03-10
0oK1glMIKcHmAsDzhnxNpO,33,2013-04-05
3I0cpYYDICQOjRI6oipMge,30,2010-08-16
1HSyuTHvLXMWyPJQGnQTLw,32,2016-05-16
4aWdr0Nnt2wRcqD9OaIDtz,47,2016-03-18
5roeGujs5AMWZHsxu0z1lZ,32,2014-10-08
1yZC8xZwv4gsmCZ4p4JWdI,33,2016-01-28
5GFHFEASZeJF0gyWuDDjGE,68,2016-09-16
2p1voQHdNSdy596VRDtdji,35,2011-08-03
6VeVzV7vR3UGZOJcnozYzR,38,2016-01-31
6nT32ncY3G3k03Xx8fdzFk,31,2015-03-02
0MPMiyavAbARflBlNGjIA6,41,2010-02-09
4fZXOp8No89WLudGy6brXd,42,2014-01-14
4O4tlQX1aDjudqgHFBaRqS,36,2016-11-04
0eMON1tw3jFdtlIFA1MWkW,39,2016-05-06
0YsuObPPJFmMScTr6UH6F0,38,2016-12-29
6vP3MQSD5duKIhv1Q1b6NM,31,2012-02-09
1Kbd7hJJipnio37279Oclz,51,2017-02-24
38er9gISOMI0uQW90und0K,52,2015-01-04
3OQONOxy6x3pmChYfg0heS,34,2014-10-24
3PKLZ6s9c6anUOmNTJbmnK,38,2013-06-17
