artist_id,name,genres,popularity
4Cy6TrPbVlo9OP1MTSONo9,Josh WaWa White,"['jawaiian', 'pacific islands pop']",39
7pwoWOh2sbcmRFkk7QWQsS,Earl,[],41
1Cy58GZRk3TYmX0pb6pExg,Shado Chris,"['azontobeats', 'rap ivoire']",29
3IzFiozYX6N0Qoz0drX8w8,Yotuel,[],53
0DCw6lHkzh9t7f8Hb4Z0Sx,Arch Enemy,"['alternative metal', 'death metal', 'melodic death metal', 'metal', 'nu metal', 'power metal', 'swedish death metal', 'swedish melodeath', 'swedish metal']",58
0VEzhZrWBCaoufAiZkjX3G,Marbert Rocel,['leipzig indie'],44
2RHXvm6gGpbDIsksQXJ1vk,Anuhea,['jawaiian'],41
380fnmlGnkyueBMqGWx2k5,Joe Goddard,"['alternative dance', 'electronica', 'indie soul', 'new rave']",46
0YC192cP3KPCRWx8zr8MfZ,Hans Zimmer,"['german soundtrack', 'orchestral soundtrack', 'soundtrack']",75
3NChzMpu9exTlNPiqUQ2DE,Thrice,"['post-hardcore', 'screamo']",55
4ZgIWfyg9BkcqnJJ2xVR3f,Mouse On Mars,"['deep idm', 'drill and bass', 'dusseldorf electronic', 'dusseldorf indie', 'german electronica', 'indie electronica', 'intelligent dance music', 'microhouse', 'ninja']",30
25x6MD0spNNS7z93Sat30K,Arisa,['italian adult pop'],49
4BNWanhw4AjSXjBm9L1Jzy,Juris,['opm'],50
70B2c7OiayofpGbmMBNPw2,Skeleton Hands,"['dark post-punk', 'grave wave']",26
595sSXSxt1PkbmEGTJjOaZ,Happy Baby Lullaby Band,['lullaby'],37
3YCKuqpv9nCsIhJ2v8SMix,Elevation Worship,"['ccm', 'christian music', 'worship']",71
28ExwzUQsvgJooOI0X1mr3,Jay Rock,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",70
3phVKYqeq84Ai91CHTQfNq,Hillsong en Espanol,"['latin worship', 'world worship']",60
4NYxCnyHrSL0yAsl7HZOPT,Maxima Alianza,['classic sierreno'],23
4SsVbpTthjScTS7U2hmr1X,Arcangel,"['latin hip hop', 'reggaeton', 'trap latino']",80
1Do4bSzfUl0KWL9r1fITu0,Yoon Mirae,"['k-pop', 'korean ost', 'korean pop', 'korean r&b']",57
6eTEMo2irgozfqcK4dEUeE,Wizboyy,"['afro dancehall', 'afropop', 'azontobeats']",31
1pTuR132U5b4Rizal2Pr7m,Randy Travis,"['country', 'country gospel', 'country road', 'country rock']",62
7B2edU3Q7btJoNsoHCNohM,Laura Marling,"['art pop', 'british folk', 'british singer-songwriter', 'chamber pop', 'indie folk', 'indie pop', 'singer-songwriter', 'stomp and holler']",54
3OLGltG8UPIea8sA4w0yg0,Rahat Fateh Ali Khan,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']",70
6uGKydhYXrVOEXM6QbVzyH,Amber,"['dutch pop', 'vocal house']",42
4eNW2w49yCMLXeOwAOWF9b,The Jompson Brothers,['modern southern rock'],40
2hTFYVduEywDC8zUUUVbUE,Red Line Chemistry,"['gymcore', 'hard alternative']",25
6L1D8jvWy1L2O27T5mqn8z,Titanic Orchestra,[],26
7If8DXZN7mlGdQkLE2FaMo,The Gaslight Anthem,"['heartland rock', 'new jersey hardcore', 'new jersey indie', 'new jersey punk']",52
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",81
2KjAo6wVc9d2WcxdxSArpV,RY X,['indie folk'],62
0HYbyzzhI44iTHvYnf1nOs,HIRIE,"['jawaiian', 'reggae rock']",43
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,['uk alternative pop'],58
2Sqr0DXoaYABbjBo9HaMkM,Sara Bareilles,"['acoustic pop', 'hollywood', 'lilith', 'neo mellow', 'pop', 'pop rock']",65
1OpHMC7Qo3lY1sVYaTUQrG,Axel Thesleff,"['bass trap', 'finnish edm']",46
7jp5R1aY7kmwBYX3jIu9yk,Jebroer,"['nederlandse hardstyle', 'tekk']",57
0Ism1B2cF9NxpXAwdUCkxK,Mungo's Hi Fi,"['dub', 'dub punk', 'uk reggae']",46
70gP6Ry4Uo0Yx6uzPIdaiJ,Bas,"['hip hop', 'queens hip hop', 'rap', 'southern hip hop', 'sudanese hip hop', 'sudanese pop', 'trap', 'underground hip hop']",65
14RkTXnwrf6D09TfPWcR5C,Massage Tribe,['sleep'],50
4doI7TR51c6DTaveTwpIkg,Emilie-Claire Barlow,"['adult standards', 'contemporary vocal jazz', 'lounge', 'vocal jazz']",52
5ISjkNS17JpCwiFtW80lpV,Seeed,"['german pop', 'german reggae']",60
6XXPLVj62lsUtiyDZvTXKz,Killer Bee,[],25
070kGpqtESdDsLb3gdMIyx,Easton Corbin,"['contemporary country', 'country', 'country road', 'modern country rock']",57
1HxJeLhIuegM3KgvPn8sTa,Jack U,"['dance pop', 'edm', 'electro house', 'pop dance']",58
4JzSg7hCVUpBkkp7puEz31,El Potro,['pop reggaeton'],15
