pseudo_id,tempo,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,track_id
0,124.016,0.106,0.444,8.46e-05,0.991,8.43e-05,0.12,-4.167,0.133,000VZqvXwT0YNqKk7iG2GS
1,120.963,0.524,0.748,0.131,0.627,0.0,0.0852,-6.029,0.0639,000xQL6tZNLJzIrtIgxqSl
2,166.018,0.651,0.509,0.684,0.803,0.000539,0.463,-6.743,0.04,000xYdQfIZ4pDmBGzQalKU
3,124.993,0.597,0.527,0.108,0.793,3.28e-06,0.144,-4.823,0.0352,0010mZpCCwlPwoBiBsjoac
4,87.997,0.356,0.775,0.061,0.355,0.0137,0.166,-11.755,0.158,001BVhvaZTf2icV88rU3DA
5,90.048,0.841,0.826,0.307,0.679,2.5e-05,0.151,-6.802,0.129,001CyR8xqmmpVZFiTZJ5BC
6,114.071,0.0381,0.747,0.231,0.583,0.0,0.0443,-7.072,0.0575,001bQcMKt86oNbnWne4EAB
7,152.283,0.5,0.393,2.16e-05,0.878,0.000106,0.375,-3.705,0.04,001m5KK2fu67yZ5ZW46LDZ
8,73.347,0.239,0.232,0.779,0.485,0.934,0.116,-13.939,0.0556,002HVvfZx6AKPzJEeimuu5
9,89.901,0.261,0.707,0.0508,0.618,0.0,0.102,-7.154,0.142,002opcRBgYV5jqoh72QcqA
10,117.044,0.959,0.61,0.266,0.65,2.18e-05,0.0989,-5.621,0.068,003R4eVgMYJqn6PaD3ShPF
11,85.715,0.712,0.544,0.347,0.436,0.0,0.325,-7.475,0.0562,003xj5QO14i4q75qFblh3c
12,109.992,0.892,0.626,0.000459,0.953,0.0,0.296,-4.283,0.0428,004CHLDuagb2GLTYON5bQ4
13,174.065,0.755,0.644,0.00163,0.749,0.863,0.0735,-6.531,0.0336,004XT7kCZUEJkVIZjmBdDi
14,104.982,0.658,0.838,0.768,0.703,1.56e-06,0.0861,-6.195,0.05,004q4eDxR33ci4f8m4flwl
